N(index)			Word			P(N)

1			vallei			0.00110006600396
2			convert			0.00290017401044
3			mondai			0.000120007200432
4			2			0.00737044222653
5			compon			0.000180010800648
6			hous			0.00501030061804
7			unlock			0.00108006480389
8			win			0.000760045602736
9			effect			0.00137008220493
10			diploma			0.000210012600756
11			restaur			0.00243014580875
12			lemon			0.000290017401044
13			long			0.00134008040482
14			vga			9.0005400324e-05
15			word			0.00216012960778
16			movi			0.00858051483089
17			photo			0.00395023701422
18			dolc			7.0004200252e-05
19			kennedi			0.000110006600396
20			rock			0.0013600816049
21			set			0.00248014880893
22			zealand			0.00153009180551
23			bad			0.000510030601836
24			msn			0.00135008100486
25			advantag			0.00040002400144
26			celciu			1.0000600036e-05
27			doe			0.00262015720943
28			love			0.00201012060724
29			sleep			0.000320019201152
30			fallen			5.000300018e-05
31			version			0.000970058203492
32			factor			0.00030001800108
33			littl			0.00107006420385
34			dermat			2.0001200072e-05
35			level			0.000970058203492
36			websit			0.00242014520871
37			diorama			1.0000600036e-05
38			heat			0.000560033602016
39			girl			0.00514030841851
40			video			0.00768046082765
41			defin			0.000520031201872
42			chines			0.00105006300378
43			price			0.00409024541472
44			bui			0.00401024061444
45			map			0.00570034202052
46			command			0.00065003900234
47			miss			0.000660039602376
48			sign			0.00104006240374
49			daili			0.0007500450027
50			banshe			6.0003600216e-05
51			rpc			4.0002400144e-05
52			ranch			5.000300018e-05
53			properti			0.00201012060724
54			ar			0.00226013560814
55			poster			0.000310018601116
56			danger			0.000160009600576
57			short			0.000940056403384
58			danc			0.001390083405
59			number			0.00232013920835
60			gari			0.000190011400684
61			quot			0.00159009540572
62			incontin			2.0001200072e-05
63			list			0.00285017101026
64			blow			6.0003600216e-05
65			spaghetti			7.0004200252e-05
66			found			0.000240014400864
67			f1			0.000340020401224
68			role			0.000260015600936
69			prevent			0.000260015600936
70			album			0.000820049202952
71			draw			0.0007500450027
72			hannah			0.000320019201152
73			free			0.0349520971258
74			origin			0.000670040202412
75			resum			0.000560033602016
76			princ			0.000360021601296
77			partit			0.000160009600576
78			cross			0.00102006120367
79			onshor			1.0000600036e-05
80			hack			0.000620037202232
81			croatian			7.0004200252e-05
82			wai			0.000920055203312
83			land			0.00147008820529
84			remov			0.00181010860652
85			scanner			0.000380022801368
86			bank			0.00263015780947
87			disadvantag			0.000180010800648
88			train			0.00323019381163
89			cutepdf			1.0000600036e-05
90			adapt			0.000320019201152
91			mani			0.000760045602736
92			locksmith			3.0001800108e-05
93			tit			0.000370022201332
94			carv			0.000110006600396
95			place			0.00085005100306
96			wa			0.00551033061984
97			sydnei			0.0156309378563
98			happen			0.000320019201152
99			ha			0.000710042602556
100			reed			5.000300018e-05
101			tube			0.00224013440806
102			conserv			0.000120007200432
103			hot			0.00218013080785
104			watch			0.00356021361282
105			honesti			1.0000600036e-05
106			rai			0.00110006600396
107			babi			0.00307018421105
108			job			0.0066103966238
109			parent			0.000260015600936
110			mad			0.000180010800648
111			motel			0.00127007620457
112			kennel			7.0004200252e-05
113			workbench			6.0003600216e-05
114			law			0.00104006240374
115			fast			0.000830049802988
116			oasi			0.000120007200432
117			galatasarai			1.0000600036e-05
118			question			0.0007500450027
119			gift			0.000840050403024
120			definit			0.000870052203132
121			au			0.00938056283377
122			tomorrow			6.0003600216e-05
123			bow			0.000140008400504
124			drama			0.000240014400864
125			motorhom			0.000210012600756
126			vitamin			0.00020001200072
127			french			0.000830049802988
128			invest			0.000310018601116
129			instal			0.00213012780767
130			flight			0.00332019921195
131			creat			0.00155009300558
132			front			0.00055003300198
133			marin			0.000780046802808
134			freemasonri			3.0001800108e-05
135			1000			0.00030001800108
136			unc			1.0000600036e-05
137			wep			5.000300018e-05
138			tattoo			0.00167010020601
139			divis			0.000120007200432
140			dog			0.00284017041022
141			accomad			0.000310018601116
142			chao			0.000130007800468
143			period			0.000320019201152
144			crime			0.00030001800108
145			letter			0.00123007380443
146			insert			0.000290017401044
147			facebook			0.00065003900234
148			pet			0.00128007680461
149			gold			0.00466027961678
150			safe			0.000330019801188
151			bangkok			0.000280016801008
152			time			0.00505030301818
153			busi			0.00328019681181
154			ag			0.00172010320619
155			volum			0.000340020401224
156			home			0.00805048302898
157			good			0.00205012300738
158			put			0.00040002400144
159			deinstitutionalis			1.0000600036e-05
160			phone			0.00426025561534
161			bring			6.0003600216e-05
162			purlin			2.0001200072e-05
163			tomtom			0.000460027601656
164			ipod			0.0015000900054
165			armidal			0.000120007200432
166			bleed			0.000210012600756
167			build			0.00196011760706
168			ho			0.000330019801188
169			pictur			0.00442026521591
170			cook			0.00148008880533
171			maker			0.00108006480389
172			revamp			1.0000600036e-05
173			trick			0.000230013800828
174			exampl			0.001110066604
175			type			0.00147008820529
176			model			0.0020001200072
177			torrent			0.00448026881613
178			white			0.00306018361102
179			pope			6.0003600216e-05
180			posit			0.000660039602376
181			gener			0.00152009120547
182			link			0.000860051603096
183			world			0.00441026461588
184			market			0.00146008760526
185			orbit			6.0003600216e-05
186			tree			0.00159009540572
187			round			0.000510030601836
188			engag			0.000230013800828
189			canada			0.000570034202052
190			ps3			0.00134008040482
191			jewish			4.0002400144e-05
192			formula			0.000540032401944
193			record			0.00153009180551
194			work			0.00277016620997
195			guitar			0.00182010920655
196			describ			8.0004800288e-05
197			funniest			6.0003600216e-05
198			delet			0.000540032401944
199			wheel			0.00133007980479
200			song			0.00464027841671
201			drop			0.000210012600756
202			mother			0.00101006060364
203			suck			0.000170010200612
204			easi			0.00129007740464
205			nation			0.00171010260616
206			made			0.000820049202952
207			find			0.00154009240554
208			web			0.00219013140788
209			leader			0.000130007800468
210			subtract			6.0003600216e-05
211			salt			0.000190011400684
212			women			0.00226013560814
213			substitut			5.000300018e-05
214			children			0.00168010080605
215			american			0.00104006240374
216			run			0.000680040802448
217			hall			0.00035002100126
218			aborigin			0.000640038402304
219			wrote			2.0001200072e-05
220			dead			0.00055003300198
221			sparknot			2.0001200072e-05
222			storag			0.000660039602376
223			desgin			4.0002400144e-05
224			make			0.00437026221573
225			physic			0.000370022201332
226			live			0.0043902634158
227			mantl			4.0002400144e-05
228			skype			0.00040002400144
229			latin			0.000120007200432
230			faro			1.0000600036e-05
231			design			0.00445026701602
232			pendulum			4.0002400144e-05
233			avatar			0.000220013200792
234			bristol			4.0002400144e-05
235			break			0.000470028201692
236			show			0.00255015300918
237			game			0.0201112066724
238			durban			2.0001200072e-05
239			tin			0.000170010200612
240			king			0.00117007020421
241			option			0.000210012600756
242			pirat			0.000470028201692
243			dress			0.00228013680821
244			warfarin			1.0000600036e-05
245			travel			0.00228013680821
246			www			0.0021401284077
247			calcul			0.00151009060544
248			switch			0.000490029401764
249			move			0.000680040802448
250			lyric			0.00547032821969
251			essai			0.000440026401584
252			romeo			0.000160009600576
253			rune			8.0004800288e-05
254			uninstal			0.000210012600756
255			blood			0.0012500750045
256			bbq			0.000290017401044
257			car			0.00979058743525
258			sound			0.00122007320439
259			speed			0.00143008580515
260			person			0.00109006540392
261			sampl			0.00140008400504
262			school			0.00478028681721
263			perth			0.00801048062884
