Alpha,Edges,Nodes,Average Degree,Average Clustering Coefficient
0,225370,33213,13.571192,0.710429045
0.1,225370,33213,13.571192,0.710429045
0.2,225370,33213,13.571192,0.710429045
0.3,225370,33213,13.571192,0.710429045
0.4,225370,33213,13.571192,0.710429045
0.5,225370,33213,13.571192,0.710429045
0.6,225370,33213,13.571192,0.710429045
0.7,225366,33213,13.57095113,0.710393077
0.8,225229,33213,13.56270135,0.708863811
0.9,222777,33213,13.41504832,0.698473888
1,210047,33213,12.64848102,0.669061169
1.1,182645,33213,10.99840424,0.622895422
1.2,147534,33210,8.884914182,0.581878967
1.3,112668,32962,6.836235665,0.548344678
1.4,82731,32564,5.081132539,0.521096143
1.5,57438,30828,3.726352666,0.503267657
1.6,1,2,1,0.507336392
1.7,1,2,1,0.540898974
1.8,9,6,3,0.589935247
1.9,9,6,3,0.625929924
