Node 1			Node 2			P(12)

36418			36419			1.0000800064e-05
34312			34313			1.0000800064e-05
22411			22412			1.0000800064e-05
18655			18657			1.0000800064e-05
23078			23080			1.0000800064e-05
44324			44326			1.0000800064e-05
25695			25697			1.0000800064e-05
38404			45921			1.0000800064e-05
30829			30831			1.0000800064e-05
49825			49826			1.0000800064e-05
22362			22363			1.0000800064e-05
23932			23934			1.0000800064e-05
47036			47038			1.0000800064e-05
28624			29718			1.0000800064e-05
31200			7752			2.0001600128e-05
23536			23538			1.0000800064e-05
41293			41294			1.0000800064e-05
26640			26641			1.0000800064e-05
36421			36422			1.0000800064e-05
15570			15571			1.0000800064e-05
37785			37786			1.0000800064e-05
36261			36262			1.0000800064e-05
39576			42578			1.0000800064e-05
40447			40448			1.0000800064e-05
41952			41954			1.0000800064e-05
49291			49292			1.0000800064e-05
42224			42226			1.0000800064e-05
47728			47729			1.0000800064e-05
28405			28406			1.0000800064e-05
27594			27595			1.0000800064e-05
25485			25487			1.0000800064e-05
27529			30119			1.0000800064e-05
33152			33154			1.0000800064e-05
38375			48892			1.0000800064e-05
36751			36753			1.0000800064e-05
16068			16069			1.0000800064e-05
50094			50095			1.0000800064e-05
49790			49791			1.0000800064e-05
44249			44250			1.0000800064e-05
36406			36407			1.0000800064e-05
42708			42710			1.0000800064e-05
38054			38055			1.0000800064e-05
46479			46481			1.0000800064e-05
47511			47513			1.0000800064e-05
20452			22154			1.0000800064e-05
40267			41289			1.0000800064e-05
22356			22357			1.0000800064e-05
41807			41809			1.0000800064e-05
21583			35226			1.0000800064e-05
31235			31236			1.0000800064e-05
49977			49979			1.0000800064e-05
36354			45363			1.0000800064e-05
50226			50228			1.0000800064e-05
30079			30080			1.0000800064e-05
17998			17999			1.0000800064e-05
40918			40920			1.0000800064e-05
49187			49188			1.0000800064e-05
47814			47815			1.0000800064e-05
36357			36358			1.0000800064e-05
27842			38531			1.0000800064e-05
26748			26749			1.0000800064e-05
19635			19636			1.0000800064e-05
18168			18169			1.0000800064e-05
25415			25417			1.0000800064e-05
42042			42044			1.0000800064e-05
31142			31144			1.0000800064e-05
41553			41554			1.0000800064e-05
33352			33353			1.0000800064e-05
33960			33961			2.0001600128e-05
24672			24673			1.0000800064e-05
42144			43067			1.0000800064e-05
30339			30340			1.0000800064e-05
44148			44149			1.0000800064e-05
22916			22917			1.0000800064e-05
34054			44259			1.0000800064e-05
40674			40676			1.0000800064e-05
35408			46720			1.0000800064e-05
44810			44811			1.0000800064e-05
45387			45388			1.0000800064e-05
18212			3125			1.0000800064e-05
45511			45512			1.0000800064e-05
22710			22712			1.0000800064e-05
44225			44226			1.0000800064e-05
33480			33482			1.0000800064e-05
42421			42422			1.0000800064e-05
38804			47210			1.0000800064e-05
30990			30991			1.0000800064e-05
12273			16383			1.0000800064e-05
26195			26197			1.0000800064e-05
17975			17976			2.0001600128e-05
22339			29709			1.0000800064e-05
49363			49364			1.0000800064e-05
41961			41962			1.0000800064e-05
27931			27932			1.0000800064e-05
32762			43906			1.0000800064e-05
25264			25265			1.0000800064e-05
20541			20542			1.0000800064e-05
48820			48821			1.0000800064e-05
45126			45128			1.0000800064e-05
43533			43535			1.0000800064e-05
35903			35904			1.0000800064e-05
41933			41934			1.0000800064e-05
30661			30662			1.0000800064e-05
30215			30216			1.0000800064e-05
46879			46880			1.0000800064e-05
16283			16285			1.0000800064e-05
45147			45149			1.0000800064e-05
31729			31730			1.0000800064e-05
24332			24333			1.0000800064e-05
