Node 1			Node 2

228055			228054
228055			228057
228055			228056
228054			228056
228057			19290
228057			228056
228057			228058
228056			228058
228051			17045
228051			228050
228051			228053
228051			228052
228050			17045
228053			169885
228053			228052
228052			17045
228052			169885
228059			4416
228059			19290
228059			228058
228059			39569
228058			19290
89370			89371
89370			89372
89371			89372
89371			171288
89371			171287
89371			171286
89373			89374
89373			37093
89373			133270
89373			33174
89374			196446
89374			196445
89374			37093
89374			181751
89374			15807
89375			121934
89375			21957
89375			89376
89375			89377
89376			89377
89376			159283
89376			159282
89378			19146
89378			89379
89378			228399
89379			19146
89379			228399
89379			228400
5989			125857
5989			223838
5989			223839
5982			5981
5982			151454
5982			217207
5982			133721
5981			99677
5986			28745
5986			5987
5987			82679
5987			215835
5987			210007
5987			156506
5987			195878
5987			203765
5987			125802
5987			169232
5987			164172
5987			65691
5987			5489
5987			210006
5987			156505
5987			151436
5987			78270
5987			169231
5987			151435
103549			51788
103549			157071
103549			103550
103549			157072
82449			82448
82449			82447
82448			82447
103541			149738
103541			70555
103541			149736
103541			149737
82442			82443
82442			24406
155632			123454
155632			17716
155632			221134
155632			227359
155632			25506
127470			127471
127470			56456
127470			41772
127470			61697
82447			224256
82447			224255
82447			178269
82447			198006
82447			153125
127476			127475
127476			9945
127475			9945
83896			204125
83896			155668
83896			163129
83896			83897
83896			83895
83896			7763
83896			97306
120128			68231
120128			167127
120128			64588
120128			167128
120121			45757
120121			210207
120121			159990
120121			152997
120121			111429
120121			150149
120121			150148
120121			159988
120121			159989
120121			124726
120121			124725
202173			40876
202173			73127
202173			202174
202173			202175
123856			87210
123856			204321
123856			204320
123856			17221
123856			123855
123856			58818
120124			40025
120124			73156
120126			122744
120126			120127
120126			196147
120126			196146
120126			18566
120127			18566
173155			173154
173155			173156
173155			39018
173154			173156
173154			18460
173154			39194
173154			105651
173154			39018
173157			94179
173157			38258
173151			225329
173151			225330
173151			87878
173151			173150
173150			173149
173150			87878
173150			155949
173159			173160
173159			26408
173159			15322
173159			173161
172402			172403
172402			15111
97158			22198
130349			130348
130349			130350
130349			37580
97152			97151
97152			50545
97151			50545
97157			71641
97157			78153
97157			97156
97157			97155
97156			97155
97155			59686
97155			170683
29683			217154
29683			100293
29683			121229
29683			175267
29683			105243
29683			178674
29683			206375
29683			206376
29683			148923
29683			93461
29683			166600
29683			166599
29683			166598
29683			159871
29683			63320
29683			188543
29683			222846
29683			217153
202171			187769
202171			130938
195511			195510
195511			64507
195510			64507
195510			116826
272			82681
272			186934
272			115940
272			159761
272			19342
272			61163
195512			135440
195512			195513
195512			56540
274			40169
195514			177341
195514			100890
195517			137368
195517			155541
195516			177341
195516			195515
195518			143074
195518			113047
195518			10731
16707			184504
16707			10035
16707			184503
16700			166659
16700			66431
16702			206839
16702			168072
16702			206840
16702			156474
95282			228404
95282			228405
95282			95281
95282			228403
95282			95283
88027			44654
88027			10289
88026			88025
88026			88024
88026			136534
88026			136535
88026			136533
88026			24221
88026			49243
88025			88024
101358			63812
101358			160393
101358			84149
101358			160739
101358			43749
101358			229662
101358			200233
101358			200232
218773			8871
218773			218772
218773			67677
218773			218774
52468			111962
96079			26498
100014			100012
100014			100013
140356			140357
140356			140358
119869			119867
119869			119868
119868			191876
119868			191874
119868			191875
119868			11293
119868			119867
100010			120063
100010			92580
100010			50048
100010			120064
100010			100009
100010			100008
100011			100242
100011			178769
100011			100241
119865			119864
119865			133266
119865			119863
119865			133265
119865			17341
119864			119863
119867			163200
119867			149401
119866			20545
119866			179588
119866			13260
17254			134504
17254			134503
52465			9213
52465			172473
52465			172472
52465			68396
52466			53552
52466			6912
63024			50535
63024			195687
63024			97702
63024			125204
63024			104396
63024			140823
63024			140822
63024			136312
63024			136313
63024			222400
63024			112786
63024			99681
63024			99680
63024			117330
63027			150563
63027			23809
63027			150589
95799			124442
95799			58111
95799			97805
95799			151979
95799			106927
95799			110642
95799			173126
95799			170543
95799			209117
95799			173127
95799			114098
63023			130704
63023			113826
95797			95796
95797			184588
95797			188916
95797			95798
95796			184588
95796			188916
95796			188915
95796			95798
53731			189046
53731			189047
53731			180339
53731			180340
53731			189049
53731			178670
53731			189048
53731			92427
10700			205052
10700			205053
10707			155537
10707			155536
10707			98829
95792			51083
95792			95791
95791			85663
95791			86597
95791			62906
95791			51083
95791			154108
95791			89915
10704			25794
10704			211620
10704			86172
10704			86171
10704			142196
176062			40553
176062			188240
176062			18364
176062			176061
176062			188239
176062			201252
176062			69211
176060			104197
176060			210300
176060			176061
176060			155643
176060			93322
176061			104197
176061			69211
176066			216851
176066			29970
176066			176067
176066			212161
176066			41835
176066			61704
176066			180981
176067			41835
176065			182959
176065			20373
176065			40975
176065			182960
176065			182961
176065			160096
21615			136566
21615			136565
49567			106213
49567			106214
176069			142410
176069			176070
176069			176068
176069			132338
49563			48364
49563			169536
49563			141611
177299			177300
177299			177298
177299			50709
194085			194084
194085			194086
194085			194087
218771			8871
218771			218772
218771			218770
46709			126339
46709			144881
124351			20311
124357			49934
124357			1239
124356			124355
124356			124354
124355			124354
124354			227415
124354			227416
124354			227417
124354			221990
124359			124358
124359			168779
124359			168778
124359			13947
124358			166122
124358			134933
124358			13947
125400			29567
125400			125401
125401			29567
125402			125403
125402			22791
125403			22791
168087			35089
168087			138377
168087			168086
168087			198526
168086			138377
168086			217163
168086			217162
168086			189243
168086			16633
125406			67469
125406			125405
125407			125408
125407			89418
125407			157193
125407			197891
125408			202864
125408			89418
125409			95136
125409			125410
168089			17561
168089			168090
168089			168091
168089			159205
168089			192299
168089			202823
168089			206291
168089			206290
46869			75948
46869			6148
46869			92327
20152			86083
58078			205300
58078			205301
58078			205299
160258			160257
160258			160259
160258			73572
160259			192415
160259			192414
160259			192413
160259			73572
58075			168757
58075			195850
58075			110561
160257			73572
160254			112267
160254			160255
160254			160252
160254			160253
160254			200222
160254			200223
160255			160253
160252			160253
46867			181462
46867			69338
46867			13839
158719			124610
158719			101836
158719			57273
158719			37575
158719			81003
158710			225641
158710			225643
158710			225642
158710			158709
158710			158708
158711			91321
158711			158712
158711			158713
158711			23776
158711			226332
158711			226333
158711			226331
158712			158713
158712			23776
158714			62926
158714			161439
48629			75203
48629			21421
176686			44385
176686			18473
176687			44385
176687			176688
176687			18473
176684			177533
176684			176685
176684			130544
176684			45280
176684			44592
176685			44592
176682			50578
176683			208457
176683			130544
176683			44592
176683			208458
163509			87787
163509			155907
163509			149508
163508			40761
163507			94750
163507			62189
163506			36388
163506			32625
163505			89068
163505			65366
163503			194061
163503			198937
163503			198938
163503			198939
163503			163502
163503			163501
163503			197426
163503			184234
163502			163501
163502			67621
163501			225165
163501			180784
163501			67621
163501			20116
163501			180785
176689			159763
176689			34094
176689			176690
82443			24406
82443			75819
82443			174756
82443			112120
82443			174755
82443			112119
127472			147670
127472			24221
127472			49243
112950			17027
112950			117365
112950			68395
112950			37553
112950			38893
112951			112952
112951			22213
112952			22213
112954			57184
112954			219569
112954			219570
112954			177185
127471			41772
112956			82361
112957			224712
112957			16028
112957			208325
112957			34581
177712			89042
177712			177711
103545			195334
103545			195336
103545			195335
103545			93295
103545			103546
191677			191675
191677			191676
103544			152448
103544			69871
103544			53938
103544			100762
103544			122697
103544			103543
155636			18269
155636			138816
155636			155635
13052			174091
13052			82777
13052			187523
13052			206927
13052			13051
13052			152512
13050			13049
13050			154422
13050			209065
13050			209064
13050			154421
13051			152512
160193			160192
160193			22594
13055			43145
13055			162075
13055			162076
168388			201958
168388			168387
168388			29524
168388			201957
168388			201956
212058			212059
212058			148526
215597			215595
215597			182034
215597			183215
215597			215596
87656			11058
87656			153483
87656			227178
87656			87655
87656			44642
163128			138057
163128			163127
163128			113233
163128			24899
163128			199074
163128			73844
83769			36538
83769			66644
178656			178657
178656			72940
137957			15057
137957			97783
44424			205980
44424			205981
44424			185959
44424			44423
44424			90643
44424			162906
44424			162907
44423			205980
44423			98620
44423			98621
44423			185959
44423			162906
44422			59598
44422			159149
44421			213019
44421			213020
44421			190472
44421			190473
44421			213021
178653			50010
178653			65205
137950			48813
65557			179955
65557			195102
65557			153709
65557			208592
65557			208593
65557			208591
29927			57352
29927			142005
29927			108926
29927			50781
29927			108925
29927			57185
29927			108655
44701			29400
215591			180875
215591			215590
215591			26606
215591			215592
27619			108782
27619			194919
27619			194920
27619			106444
27615			169077
27615			21527
27615			155084
27614			229055
58701			83071
58701			140973
58701			158391
58701			158392
58701			140974
58701			227645
58701			74413
29925			165499
29925			165500
29925			123083
27611			149884
27611			149885
27610			143939
27610			40210
27610			207149
27610			37607
27610			58175
193179			193180
193179			65901
193179			22777
193178			164035
193178			170043
193178			55271
129235			168498
129235			129234
129235			168497
129235			70761
129235			163707
129235			108032
129235			62951
129234			187288
129234			6597
129234			187286
129234			187287
129234			222210
129234			44685
129234			168106
129234			19806
129234			168105
129234			25746
129234			108032
129234			224400
97931			162488
97931			155840
97931			61537
97931			122905
97931			122906
97931			41584
137959			137960
137959			40861
137959			137958
193173			8086
193173			193172
193173			193174
193172			193174
193175			180298
193175			162259
193175			107592
193175			100355
193174			92760
193174			8086
193177			215886
193177			215887
193177			215885
193177			55271
193177			215888
193177			170043
193176			13128
192882			83063
192882			125670
174681			174682
174681			168024
174682			145558
174682			168024
174682			52291
174683			124621
174683			80392
174684			177855
174684			174685
174684			38458
174684			86929
174684			49335
174685			86929
192884			192883
192884			192886
192884			192885
192885			192883
192885			192886
192885			192887
174688			174686
174688			174687
192888			123424
192888			86613
192888			101888
118891			118892
118891			118890
195807			195806
195807			86747
217539			217538
217539			170428
217539			167141
217539			41230
217539			145374
217539			218995
217539			59293
47671			20362
47671			191502
154260			103952
154260			154261
154260			154262
65889			224688
65889			224689
65889			17583
8549			75004
8549			15130
65880			132258
65880			9376
195803			26210
195803			195804
195803			156307
65882			170173
65882			40432
65882			141793
65883			147661
65883			192490
65884			115399
65884			115398
65884			24637
65884			133687
65884			133686
8543			179176
8543			169344
8543			98100
8543			155531
8543			111398
8543			168728
8543			80479
8543			11875
8543			179889
8543			135898
8543			77357
8543			187166
8543			8542
8542			80479
92262			92260
92262			92261
150591			150592
150591			150593
92260			92261
92260			130008
92260			62847
92260			176273
92260			12854
92260			5974
92266			90750
92266			68573
92266			191042
92266			139331
119046			37199
119046			27246
119045			119044
119045			119043
119044			119043
119043			127350
119042			115364
119042			139763
119042			139764
119042			119041
119042			119040
119041			193230
119041			132118
119041			132119
119041			123631
119041			88604
119041			119040
66504			168014
66504			167141
66504			167140
66504			64913
66505			211777
66505			109925
66505			202572
66505			63029
66505			202571
66505			215117
66505			49297
145439			156018
145439			228065
145438			145437
145438			57196
145438			28734
66502			58595
66502			158644
145433			59072
145433			2976
145433			50402
145432			107067
145430			127699
145430			145429
145430			93486
145437			57196
50416			58501
50416			26333
50416			92581
50416			92580
50416			171346
50416			154527
50416			171345
50415			185638
50415			185637
145434			107646
145434			29725
145434			100638
145434			164871
145434			38055
145434			91716
145434			226627
223201			223199
223201			223200
223201			142498
223200			223199
223200			142498
223200			37394
223203			223202
223203			223205
223203			223204
223203			9604
223202			223204
223202			9604
223205			223204
223205			122036
223205			181108
223204			181108
223207			136175
223206			122036
223206			181108
223209			223210
223209			223211
223209			124769
223208			38131
200043			200044
200043			157866
200043			51264
200043			200042
88397			88396
88397			193849
88397			88398
88397			193848
88397			124105
39299			187570
39299			152212
39299			167951
39299			167952
39299			70293
39299			140458
39299			55589
39299			59801
139768			139769
139768			31251
52813			44986
52813			210482
52813			20561
52813			194139
52812			181059
52812			51378
52812			125109
52814			85910
52814			85911
52814			98037
52814			142385
52814			142386
52814			120041
52817			84756
52817			206925
52817			206926
139769			82164
139769			31251
195808			53857
195808			53858
195808			188972
135469			135470
135469			98649
192226			192227
192226			192224
192226			192225
60903			100135
60903			78234
60903			162814
60903			162815
60903			162816
60903			100134
60900			49428
60900			118713
192225			192227
192225			192224
192225			87317
192225			215899
192225			215897
192225			215898
60906			71175
60906			161085
60906			178817
60906			71174
60906			30547
60906			8635
60906			64403
60906			186533
60906			182529
192223			21634
192220			104927
192220			191395
192220			192221
192221			104927
192221			192222
26566			6951
200048			200047
200048			57499
107891			6305
107891			107890
107891			17529
107890			6305
107897			47618
107897			107896
107896			169134
107896			81722
107896			47618
192228			166031
192229			103322
192229			171572
217044			217045
217044			18944
217044			31527
217045			176412
217045			18944
217045			31527
217046			176412
217046			209157
8292			133186
8292			208476
8292			49910
217040			211099
217040			133847
217040			217041
217040			217042
217041			99111
217041			133847
217041			217042
217042			99111
15551			103691
15551			103690
15551			78513
15551			229535
15551			229536
15551			155360
15551			155361
160520			163380
160520			160521
160520			112438
217048			78972
217048			190501
217048			78971
217048			217049
217049			190501
217049			217051
217049			217050
214535			214534
214535			127037
214535			104118
214534			127037
214534			214533
214534			104118
65268			215233
65268			58331
214530			189410
214530			28861
214530			47441
214530			214529
214533			127037
214533			214532
214532			127037
65264			216998
65264			216997
65264			164801
65264			164800
65264			83772
65264			83773
65264			1414
150166			147106
150165			150164
150165			150163
150164			105424
150164			190244
150164			150163
150164			150162
150164			205049
150164			161199
65260			202229
65260			205025
65260			205024
150162			150163
150161			79119
150161			150160
150160			79119
150160			150159
92886			92887
92886			92888
92887			61546
92887			131520
92887			148410
92887			148411
92887			27315
92887			131519
92887			92888
92884			120403
92884			92885
92884			92883
92884			120404
92885			110040
92885			92883
92885			203487
92885			203486
92882			92880
92882			92881
92883			195997
92883			165817
92883			195999
92883			195998
92880			92881
92880			88910
92880			112678
92880			184688
92881			137810
92881			39976
92881			137809
92881			176161
92881			73159
179597			160658
179597			179598
179597			179596
92888			157785
92888			183221
92889			38288
159594			159593
159594			108680
159594			159595
161514			161512
161514			161513
15559			128478
15559			128479
161515			126753
41064			41065
93138			126485
93138			57747
93138			120564
93138			120565
93138			7717
164590			104203
164590			171960
164590			77912
164590			109412
164590			164254
93135			93134
93135			78156
93134			78156
93137			145107
93137			131292
93137			48158
93137			93136
93137			145108
93136			48158
93131			93130
93131			93132
93130			8086
93130			93132
93133			141032
93133			141031
93133			88256
93133			31967
93133			120418
93133			51970
179598			179596
13166			178165
13166			178164
13166			78538
13166			178163
75289			50448
75289			221873
75289			221874
75289			116928
75289			75288
75288			55718
75288			226135
75288			226136
75288			111484
75287			46352
75287			33351
75286			75285
75286			75284
75285			75284
75284			162012
75284			134424
75284			162013
98848			27000
98848			98846
98848			98847
75282			40889
75282			75281
75281			40889
75281			31093
41061			27299
123276			123275
123276			123274
222558			222557
222558			222559
222558			130472
222558			222560
222559			130472
222559			222561
222559			222560
222556			222557
222556			104627
222557			104627
222557			130472
222555			45499
222555			35555
222555			82555
194247			104513
194247			194246
194247			143880
109835			36706
109835			109834
109835			76350
125893			125894
82461			69466
82461			82462
82461			108145
82461			28988
82461			98739
77858			2843
105639			105640
105639			36551
105639			215735
105639			101920
105639			87703
105639			139223
105638			105637
105638			105636
227009			222161
227009			227008
141849			10475
141849			141850
141849			41040
227007			86599
227007			227006
227007			222161
227007			227008
227006			86599
227006			227005
227006			227008
105633			10868
105633			105634
227004			53686
227004			227003
227004			29801
227003			53686
227003			19153
227003			29801
105634			34002
105634			10868
105634			154851
105634			154850
105637			105636
105636			64006
105636			122394
102940			201467
102940			39172
102940			102939
102940			102938
102941			36204
102946			61452
102946			102945
102946			178289
102946			148974
102946			4708
102947			33449
102947			53053
102945			133092
102945			133093
102945			133094
102949			102950
102949			9329
115932			115931
115932			115930
146319			146320
146319			70401
146319			105898
146319			29451
146319			72344
146319			159919
146319			192328
146313			69584
146313			146314
146312			146311
146312			63835
146312			100554
146311			63835
146311			100554
146310			56976
146310			65916
146310			146309
146316			73038
