N(index)			Word			P(N)

1			endnot			2.0001600128e-05
2			x1			8.0006400512e-05
3			usa			0.000980078406273
4			2009			0.0109008720698
5			categori			5.000400032e-05
6			a			0.017501400112
7			carem			1.0000800064e-05
8			enploy			1.0000800064e-05
9			roman			0.000220017601408
10			empir			0.000560044803584
11			shine			8.0006400512e-05
12			star			0.00257020561645
13			luxuri			0.000290023201856
14			hotel			0.00626050084007
15			citi			0.00412032962637
16			librari			0.00107008560685
17			500000000			2.0001600128e-05
18			sexkitten			1.0000800064e-05
19			1			0.00203016241299
20			vs			0.00296023681895
21			best			0.00651052084167
22			site			0.00231018481479
23			unabl			0.0002500200016
24			to			0.0482338587087
25			war			0.00312024961997
26			in			0.0596647731819
27			nikki			9.0007200576e-05
28			jayn			3.0002400192e-05
29			bifold			4.0003200256e-05
30			door			0.00108008640691
31			volkswagon			2.0001600128e-05
32			polo			0.00020001600128
33			elanda			2.0001600128e-05
34			point			0.0015001200096
35			rockman			1.0000800064e-05
36			beme			1.0000800064e-05
37			sword			0.000220017601408
38			the			0.0353728298264
39			mario			0.00055004400352
40			forev			8.0006400512e-05
41			footbal			0.00160012801024
42			sock			8.0006400512e-05
43			elmo			7.0005600448e-05
44			parti			0.00151012080966
45			radiohead			1.0000800064e-05
46			torrent			0.00410032802624
47			absolut			8.0006400512e-05
48			dermov			2.0001600128e-05
49			japan			0.000660052804224
50			pga			8.0006400512e-05
51			telephon			0.000430034402752
52			exchang			0.0017501400112
53			mors			3.0002400192e-05
54			code			0.00401032082567
55			south			0.00359028722298
56			africa			0.000530042403392
57			free			0.0331026482119
58			lax			2.0001600128e-05
59			jizz			0.000110008800704
60			vegetarian			0.000130010400832
61			restaur			0.002500200016
62			medic			0.0011400912073
63			manag			0.00354028322266
64			review			0.00737058964717
65			uk			0.0023901912153
66			cryostasi			1.0000800064e-05
67			demo			0.000430034402752
68			list			0.00351028082247
69			of			0.0529542363389
70			oneida			1.0000800064e-05
71			airrail			1.0000800064e-05
72			just			0.000490039203136
73			maria			0.00020001600128
74			sharapova			4.0003200256e-05
75			busi			0.00304024321946
76			case			0.000980078406273
77			cortison			1.0000800064e-05
78			side			0.000860068805504
79			plai			0.00253020241619
80			axxo			8.0006400512e-05
81			cheap			0.00408032642611
82			internet			0.00324025922074
83			madam			5.000400032e-05
84			parker			0.00015001200096
85			dogget			1.0000800064e-05
86			indredi			1.0000800064e-05
87			great			0.000820065605248
88			how			0.0217317385391
89			doubt			1.0000800064e-05
90			lyric			0.00542043363469
91			widget			0.00010000800064
92			for			0.0646251700136
93			hair			0.00203016241299
94			and			0.0300124009921
95			instal			0.00203016241299
96			mac			0.0007500600048
97			clean			0.00102008160653
98			vagina			0.000120009600768
99			herp			5.000400032e-05
100			replac			0.000730058404672
101			string			0.000370029602368
102			ryde			0.000130010400832
103			council			0.00245019601568
104			secret			0.000480038403072
105			world			0.00438035042803
106			movi			0.00861068885511
107			onlin			0.0164413153052
108			drive			0.00269021521722
109			xbox			0.00166013281062
110			pension			0.00030002400192
111			aachen			1.0000800064e-05
112			video			0.00745059604768
113			motorcycl			0.00103008240659
114			part			0.00338027042163
115			battl			0.000320025602048
116			raper			1.0000800064e-05
117			dii			0.000490039203136
118			dog			0.00292023361869
119			nice			0.000170013601088
120			tattoo			0.00171013681094
121			athlet			0.000110008800704
122			foot			0.00030002400192
123			winter			0.000390031202496
124			assult			1.0000800064e-05
125			canva			0.000140011200896
126			cano			0.000120009600768
127			greatest			0.000160012801024
128			hit			0.000410032802624
129			total			0.000640051204096
130			mari			0.000520041603328
131			legend			0.000410032802624
132			harga			3.0002400192e-05
133			blackberri			0.0007500600048
134			newton			0.000110008800704
135			raphson			1.0000800064e-05
136			compact			0.000180014401152
137			cd			0.0013901112089
138			michel			0.0002500200016
139			trachtenberg			2.0001600128e-05
140			eden			0.00015001200096
141			brae			2.0001600128e-05
142			cool			0.000660052804224
143			stuff			0.000310024801984
144			wax			0.000230018401472
145			web			0.00223017841427
146			page			0.00399031922554
147			tronga			1.0000800064e-05
148			zoo			0.000740059204736
149			sydnei			0.0153912312985
150			domet			3.0002400192e-05
151			capric			3.0002400192e-05
152			famou			0.000630050404032
153			birthdai			0.0016401312105
154			secondhand			0.000140011200896
155			tower			0.00065005200416
156			chatswood			0.00010000800064
157			iraq			9.0007200576e-05
158			sa			0.00121009680774
159			human			0.000770061604928
160			resourc			0.000460036802944
161			pork			0.000270021601728
162			pie			0.000380030402432
163			camden			0.000120009600768
164			home			0.0072505800464
165			premium			0.000320025602048
166			australian			0.00782062565005
167			box			0.00243019441555
168			what			0.00943075446036
169			is			0.0102108168653
170			process			0.00060004800384
171			puzzl			0.000330026402112
172			vn			9.0007200576e-05
173			thu			3.0002400192e-05
174			feed			0.000370029602368
175			babi			0.00311024881991
176			dell			0.00112008960717
177			pc			0.00371029682375
178			hyundai			0.000290023201856
179			elantra			4.0003200256e-05
180			friendster			0.000130010400832
181			christian			0.00070005600448
182			import			0.00085006800544
183			hous			0.00459036722938
184			furnish			7.0005600448e-05
185			accommod			0.00503040243219
186			thermospher			1.0000800064e-05
187			vovafon			1.0000800064e-05
188			acer			0.00080006400512
189			comput			0.00316025282023
190			bank			0.00267021361709
191			pictur			0.005000400032
192			melton			0.00020001600128
193			vic			0.00188015041203
194			central			0.00112008960717
195			coast			0.00386030882471
196			monkei			0.000330026402112
197			acapulco			2.0001600128e-05
198			resort			0.00228018241459
199			tripl			0.0002500200016
200			j			0.000470037603008
201			ap			6.0004800384e-05
202			job			0.00683054644372
203			watch			0.00373029842387
204			au			0.00943075446036
205			stabl			7.0005600448e-05
206			hand			0.00144011520922
207			mental			0.000260020801664
208			health			0.00249019921594
209			chines			0.00119009520762
210			vector			0.00015001200096
211			beach			0.00251020081607
212			accomod			0.00144011520922
213			camp			0.00138011040883
214			hill			0.00224017921434
215			increas			0.0002500200016
216			aria			6.0004800384e-05
217			chart			0.001250100008
218			nullabor			1.0000800064e-05
219			aecom			1.0000800064e-05
220			australia			0.040783262661
221			wellingrov			1.0000800064e-05
222			road			0.00241019281543
223			premier			0.000380030402432
224			leagu			0.00159012721018
225			warwickshir			2.0001600128e-05
226			genealog			0.000280022401792
227			alfa			0.00015001200096
228			romeo			0.000190015201216
229			fail			0.00035002800224
230			ah			4.0003200256e-05
231			my			0.00453036242899
232			rhapsodi			4.0003200256e-05
233			nekad			1.0000800064e-05
234			sexi			0.0011400912073
235			male			0.000530042403392
236			choir			6.0004800384e-05
237			peter			0.000730058404672
238			leek			3.0002400192e-05
239			slumdog			6.0004800384e-05
240			millionair			0.000110008800704
241			bigpond			0.000690055204416
242			cabl			0.000910072805824
243			anyakonyvi			1.0000800064e-05
244			48226			2.0001600128e-05
245			doll			0.00055004400352
246			laptop			0.00171013681094
247			servic			0.00497039763181
248			ba			0.000210016801344
249			falcon			0.000770061604928
250			low			0.0010000800064
251			calori			0.00030002400192
252			yugioh			0.000140011200896
253			window			0.0102408192655
254			7			0.00359028722298
255			find			0.0013901112089
256			sigli			1.0000800064e-05
257			oatmeal			2.0001600128e-05
258			cooki			0.0002500200016
259			pioneer			0.000340027202176
260			birth			0.00070005600448
261			charlott			0.00010000800064
262			north			0.00135010800864
263			river			0.00147011760941
264			from			0.00735058804704
265			realtek			0.000130010400832
266			audio			0.00123009840787
267			deer			0.000210016801344
268			park			0.00527042163373
269			plantat			6.0004800384e-05
270			shutter			0.00015001200096
271			famili			0.00263021041683
272			at			0.00304024321946
273			nasi			3.0002400192e-05
274			goreng			9.0007200576e-05
275			tv			0.00584046723738
276			map			0.00546043683495
277			inform			0.00109008720698
278			postcod			0.000430034402752
279			nsw			0.00995079606369
280			helmut			3.0002400192e-05
281			lotti			3.0002400192e-05
282			enduro			9.0007200576e-05
283			comp			9.0007200576e-05
284			water			0.00330026402112
285			system			0.00306024481959
286			virtual			0.00101008080646
287			prototyp			3.0002400192e-05
288			campervan			0.000180014401152
289			hire			0.00310024801984
290			mg			0.000160012801024
291			with			0.00820065605248
292			curs			5.000400032e-05
293			game			0.0208616689335
294			genit			5.000400032e-05
295			mutil			5.000400032e-05
296			todai			0.00045003600288
297			show			0.00240019201536
298			wonderland			6.0004800384e-05
299			mt			0.000680054404352
300			isa			0.000230018401472
301			orapi			1.0000800064e-05
302			pavlovo			1.0000800064e-05
303			driver			0.00427034162733
304			paper			0.00142011360909
305			textil			4.0003200256e-05
306			sparkl			4.0003200256e-05
307			7600gs			2.0001600128e-05
308			definit			0.000830066405312
309			illustr			0.000140011200896
310			templat			0.00230018401472
311			cannot			0.000520041603328
312			open			0.00169013521082
313			tweed			0.000120009600768
314			head			0.0011100888071
315			aeroplan			8.0006400512e-05
316			jelli			0.000160012801024
317			explor			0.00119009520762
318			sanyo			7.0005600448e-05
319			cp21af1v			1.0000800064e-05
320			electrician			7.0005600448e-05
321			apprenticeship			0.000120009600768
322			multicultur			0.000110008800704
323			commun			0.00157012561005
324			st			0.00238019041523
325			pat			6.0004800384e-05
326			butterglov			1.0000800064e-05
327			hnour			1.0000800064e-05
328			ebai			0.00149011920954
329			long			0.00118009440755
330			tiguan103			1.0000800064e-05
331			09u01n			2.0001600128e-05
332			albani			0.000170013601088
333			eagl			0.000290023201856
334			hawk			0.00035002800224
335			model			0.00183014641171
336			guidelin			0.000130010400832
337			125cc			5.000400032e-05
338			dirt			0.000210016801344
339			wash			0.00060004800384
